,code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,6.91,5.95,9.23,16.19,5.12,4.74,5.10,3.56
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,8.94,6.19,9.33,15.69,4.95,4.85,4.74,3.65
92,D010,Brinjal-1 (Solanum melongena),1,5.59,4.42,15.95,20.57,4.44,3.85,3.34,2.26
93,D011,Brinjal-2 (Solanum melongena),1,3.72,5.14,16.15,20.56,3.4,3.54,3.09,2.3
94,D012,Brinjal-3 (Solanum melongena),2,3.84,4.55,14.44,20.14,3.77,3.55,3.62,2.59
95,D013,Brinjal-4 (Solanum melongena),4,5.03,5.27,15.98,20.30,3.97,3.74,4.03,2.68
96,D014,Brinjal-5 (Solanum melongena),3,4.98,5.49,14.14,21.64,3.86,3.76,3.52,3.15
97,D015,Brinjal-6 (Solanum melongena),2,5.5,4.7,15.15,22.59,4.78,3.64,3.57,4.46
98,D016,Brinjal-7 (Solanum melongena),1,7.03,5.34,14.02,17.88,4.32,4.19,4.67,3.01
99,D017,Brinjal-8(Solanum melongena),3,5.75,5.37,15.40,19.63,4.60,3.90,4.22,3.32
100,D018,Brinjal-9(Solanum melongena),2,5.31,5.97,16.1,15.96,4.63,3.96,4.01,2.99
101,D019,Brinjal-10 (Solanum melongena),2,4.39,5.95,15.27,21.73,3.66,3.25,3.01,2.48
102,D020,Brinjal-11 (Solanum melongena),6,5.71,4.98,16.71,20.98,4.28,3.49,3.82,2.88
103,D021,Brinjal-12 (Solanum melongena),2,5.07,5.25,15.62,19.92,4.18,3.04,3.46,2.51
104,D022,Brinjal-13(Solanum melongena),1,5.43,5.57,16.67,18.85,3.71,3.74,3.82,2.79
105,D023,Brinjal-14(Solanum melongena),3,5.37,5.23,16.21,19.59,3.91,4.08,3.35,2.60
106,D024,Brinjal-15 (Solanum melongena),4,5.31,4.48,16.23,20.53,3.81,3.26,3.79,2.68
107,D025,Brinjal-16(Solanum melongena),1,5.54,5.43,16.88,21.96,3.85,3.12,3.85,2.17
108,D026,Brinjal-17(Solanum melongena),1,5.19,5.61,15.45,19.39,3.94,3.28,3.83,2.99
109,D027,Brinjal-18 (Solanum melongena),3,5.51,4.98,15.68,21.38,3.82,3.39,3.87,2.83
110,D028,Brinjal-19(Solanum melongena),3,5.70,4.34,16.98,21.76,3.64,3.73,4.28,3.16
111,D029,Brinjal-20(Solanum melongena),5,5.61,4.32,16.36,21.23,4.45,3.30,4.15,2.66
112,D030,Brinjal-21(Solanum melongena),2,5.48,5.02,17.23,21.64,4.3,3.45,3.9,2.58
113,D031,Brinjal - all varieties (Solanum melongena),6,5.37,5.02,16.01,20.62,4.11,3.56,3.82,2.85
114,D032,Broad beans (Vicia faba),3,6.43,7.61,14.41,13.83,4.80,4.51,4.54,2.83
115,D033,"Capsicum, green (Capsicum annuum)",6,6.43,3.07,14.89,24.82,4.86,3.83,4.30,2.91
